,specimen,largo_pico_mm,ancho_pico_mm,longitud_aleta_mm,masa_cuerpo_gr
0,0,39.1,18.7,181.0,3750.0
1,1,39.5,17.4,186.0,3800.0
2,2,40.3,18.0,195.0,3250.0
3,3,36.7,19.3,193.0,3450.0
4,4,39.3,20.6,190.0,3650.0
5,5,38.9,17.8,181.0,3625.0
6,6,39.2,19.6,195.0,4675.0
7,7,41.1,17.6,182.0,3200.0
8,8,38.6,21.2,191.0,3800.0
9,9,34.6,21.1,198.0,4400.0
10,10,36.6,17.8,185.0,3700.0
11,11,38.7,19.0,195.0,3450.0
12,12,42.5,20.7,197.0,4500.0
13,13,34.4,18.4,184.0,3325.0
14,14,46.0,21.5,194.0,4200.0
15,15,37.8,18.3,174.0,3400.0
16,16,37.7,18.7,180.0,3600.0
17,17,35.9,19.2,189.0,3800.0
18,18,38.2,18.1,185.0,3950.0
19,19,38.8,17.2,180.0,3800.0
20,20,35.3,18.9,187.0,3800.0
21,21,40.6,18.6,183.0,3550.0
22,22,40.5,17.9,187.0,3200.0
23,23,37.9,18.6,172.0,3150.0
24,24,40.5,18.9,180.0,3950.0
25,25,39.5,16.7,178.0,3250.0
26,26,37.2,18.1,178.0,3900.0
27,27,39.5,17.8,188.0,3300.0
28,28,40.9,18.9,184.0,3900.0
29,29,36.4,17.0,195.0,3325.0
30,30,39.2,21.1,196.0,4150.0
31,31,38.8,20.0,190.0,3950.0
32,32,42.2,18.5,180.0,3550.0
33,33,37.6,19.3,181.0,3300.0
34,34,39.8,19.1,184.0,4650.0
35,35,36.5,18.0,182.0,3150.0
36,36,40.8,18.4,195.0,3900.0
37,37,36.0,18.5,186.0,3100.0
38,38,44.1,19.7,196.0,4400.0
39,39,37.0,16.9,185.0,3000.0
40,40,39.6,18.8,190.0,4600.0
41,41,41.1,19.0,182.0,3425.0
42,42,36.0,17.9,190.0,3450.0
43,43,42.3,21.2,191.0,4150.0
44,44,39.6,17.7,186.0,3500.0
45,45,40.1,18.9,188.0,4300.0
46,46,35.0,17.9,190.0,3450.0
47,47,42.0,19.5,200.0,4050.0
48,48,34.5,18.1,187.0,2900.0
49,49,41.4,18.6,191.0,3700.0
50,50,39.0,17.5,186.0,3550.0
51,51,40.6,18.8,193.0,3800.0
